sample_id,model,generation,problem_key,cppcheck_cwes,sanitizer_cwes,cppcheck_only,sanitizer_only,both,static_confirmed_dynamically
gemma/gen_1/00000/0217_p02117_Picnic,gemma,gen_1,p02117_Picnic,CWE-571,,CWE-571,,,False
gemma/gen_1/00000/0218_p02257_Prime_Numbers,gemma,gen_1,p02257_Prime_Numbers,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0221_1030_E._Vasya_and_Good_Sequences,gemma,gen_1,1030_E_Vasya_and_Good_Sequences,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0222_1053_C._Putting_Boxes_Together,gemma,gen_1,1053_C_Putting_Boxes_Together,CWE-786,,CWE-786,,,False
gemma/gen_1/00000/0223_1075_D._Intersecting_Subtrees,gemma,gen_1,1075_D_Intersecting_Subtrees,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0225_1144_B._Parity_Alternated_Deletions,gemma,gen_1,1144_B_Parity_Alternated_Deletions,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0230_1244_C._The_Football_Season,gemma,gen_1,1244_C_The_Football_Season,CWE-398|CWE-563|CWE-571,,CWE-398|CWE-563|CWE-571,,,False
gemma/gen_1/00000/0231_1264_A._Beautiful_Regional_Contest,gemma,gen_1,1264_A_Beautiful_Regional_Contest,CWE-398|CWE-563|CWE-571,,CWE-398|CWE-563|CWE-571,,,False
gemma/gen_1/00000/0233_1304_E._1-Trees_and_Queries,gemma,gen_1,1304_E_1-Trees_and_Queries,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0234_1348_F._Phoenix_and_Memory,gemma,gen_1,1348_F_Phoenix_and_Memory,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0235_1391_C._Cyclic_Permutations_,gemma,gen_1,1391_C_Cyclic_Permutations_,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0236_1413_F._Roads_and_Ramen,gemma,gen_1,1413_F_Roads_and_Ramen,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0238_147_B._Smile_House,gemma,gen_1,147_B_Smile_House,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00001/0000_152_E._Garden,gemma,gen_1,152_E_Garden,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_1/00001/0000_152_E._Garden.cpp,gemma,gen_1,152_E_Garden,,CWE-190,,CWE-190,,False
gemma/gen_1/00001/0004_277_C._Game,gemma,gen_1,277_C_Game,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_1/00001/0004_277_C._Game.cpp,gemma,gen_1,277_C_Game,,CWE-190,,CWE-190,,False
gemma/gen_1/00001/0006_323_C._Two_permutations,gemma,gen_1,323_C_Two_permutations,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0007_348_A._Mafia,gemma,gen_1,348_A_Mafia,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0008_371_B._Fox_Dividing_Cheese,gemma,gen_1,371_B_Fox_Dividing_Cheese,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0010_415_E._Mashmokh_and_Reverse_Operation,gemma,gen_1,415_E_Mashmokh_and_Reverse_Operation,CWE-398,CWE-122,CWE-398,CWE-122,,False
gemma/gen_1/00001/0010_415_E._Mashmokh_and_Reverse_Operation.cpp,gemma,gen_1,415_E_Mashmokh_and_Reverse_Operation,,CWE-122,,CWE-122,,False
gemma/gen_1/00001/0011_442_C._Artem_and_Array_,gemma,gen_1,442_C_Artem_and_Array_,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0013_488_C._Fight_the_Monster,gemma,gen_1,488_C_Fight_the_Monster,CWE-571,,CWE-571,,,False
gemma/gen_1/00001/0016_586_F._Lizard_Era__Beginning,gemma,gen_1,586_F_Lizard_Era__Beginning,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00001/0017_609_B._The_Best_Gift,gemma,gen_1,609_B_The_Best_Gift,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0020_67_E._Save_the_City_,gemma,gen_1,67_E_Save_the_City_,CWE-398,,CWE-398,,,False
gemma/gen_1/00001/0025_814_C._An_impassioned_circulation_of_affection,gemma,gen_1,814_C_An_impassioned_circulation_of_affection,,CWE-190,,CWE-190,,False
gemma/gen_1/00001/0025_814_C._An_impassioned_circulation_of_affection.cpp,gemma,gen_1,814_C_An_impassioned_circulation_of_affection,,CWE-190,,CWE-190,,False
gemma/gen_1/00001/0026_83_C._Track,gemma,gen_1,83_C_Track,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00001/0028_909_D._Colorful_Points,gemma,gen_1,909_D_Colorful_Points,CWE-398,,CWE-398,,,False
